"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 24 17:35:36 CST 2022","Thu Nov 24 17:35:37 CST 2022","892","testcase","login","","","","test_login[params1-check1]","测试登录功能，两个正例测试"
"passed","Thu Nov 24 17:35:35 CST 2022","Thu Nov 24 17:35:36 CST 2022","1022","testcase","login","","","","test_login[params0-check0]","测试登录功能，两个正例测试"
